Age,Respondent
16,3
17,6
18,29
19,78
20,109
21,203
22,406
23,581
24,679
25,738
26,722
27,722
28,787
29,697
30,651
31,531
32,489
33,483
34,395
35,393
36,308
37,280
38,279
39,232
40,187
41,136
42,162
43,100
44,95
45,85
46,66
47,68
48,64
49,66
50,57
51,29
52,41
53,32
54,26
55,13
56,16
57,11
58,12
59,11
60,2
61,10
62,5
63,7
65,2
66,1
67,1
69,1
71,2
72,1
99,1
